index,price
0,8366331
1,11004979
2,7780920
3,9682538
4,11304146
5,7675669
6,16553664
7,8618407
8,8961079
9,4701528
10,8321949
11,5626344
12,8721842
13,9677311
14,12718393
15,9679008
16,5046652
17,16657773
18,12160808
19,4377627
20,9400550
21,5366410
22,6213212
23,7743588
24,9100616
25,13467140
26,9759217
27,21050456
28,18265077
29,4775447
30,11669952
31,5223482
32,8813989
33,7826505
34,8335539
35,8831823
36,8197593
37,7058236
38,7761182
39,15111521
40,6657009
41,13687240
42,9511568
43,11969253
44,6534007
45,9915095
46,7628268
47,5682846
48,8378743
49,7105793
50,5800286
51,9955026
52,10490077
53,6314328
54,8024465
55,10790082
56,9548546
57,9645900
58,6564551
59,10346923
60,5108638
61,7336872
62,7024102
63,7625226
64,7922017
65,9112680
66,13306786
67,6147232
68,13645242
69,18176144
70,9102114
71,7544143
72,5741129
73,7110107
74,4472695
75,10654641
76,8134561
77,9609771
78,5101976
79,11464017
80,15115849
81,9079249
82,4969535
83,7202460
84,8793250
85,7928650
86,9214507
87,5285102
88,5400790
89,9012644
90,4325113
91,8117630
92,7330326
93,13176896
94,14569261
95,7952391
96,6175615
97,10981337
98,10108609
99,13958081
100,6256714
101,4258400
102,9094978
103,14281838
104,7495561
105,6097822
106,13844928
107,7336920
108,9193750
109,3704387
110,4398762
111,4671925
112,18455963
113,4770753
114,10916587
115,10778977
116,8321696
117,20275937
118,8160375
119,7876517
120,16055354
121,4185630
122,8971512
123,8891008
124,8560628
125,8791787
126,4260869
127,5396502
128,7016222
129,6373889
130,10506643
131,9829973
132,10594837
133,5935014
134,5421111
135,8687553
136,6243230
137,8037401
138,7463682
139,15766647
140,12126815
141,10388810
142,9826523
143,12646420
144,7452741
145,8872945
146,4492411
147,11396456
148,9248715
149,10581700
150,6922314
151,9476014
152,6621228
153,10401889
154,8880529
155,6156520
156,10383492
157,8807115
158,5133680
159,15455063
160,10082005
161,4614618
162,10734031
163,5941455
164,11967205
165,5952897
166,6164336
167,17029038
168,5452699
169,7958524
170,7445160
171,13760345
172,7429355
173,5119850
174,9754604
175,8172025
176,11709862
177,5964076
178,5107567
179,9560749
180,10071761
181,6729174
182,8712281
183,7269408
184,15017991
185,6733579
186,7891691
187,13438189
188,6517093
189,15629235
190,10167570
191,8021570
192,12207545
193,13038221
194,10474024
195,4744894
196,7382950
197,6795497
198,16255621
199,9925227
200,5042568
201,7384653
202,4384604
203,8167525
204,6937403
205,5754171
206,13168325
207,9512093
208,5323914
209,6505778
210,5991709
211,7499939
212,10522959
213,10868517
